parameter,"(32,32)[0]","(33,32)[0]","(32,33)[0]","(32,31)[0]","(31,32)[0]","(33,33)[0]","(33,31)[0]","(31,33)[0]","(31,31)[0]","(32,32)[1]","(32,32)[2]","(33,32)[1]","(32,33)[1]","(32,31)[1]","(31,32)[1]","(33,32)[2]","(32,33)[2]","(32,31)[2]","(31,32)[2]","(34,32)[0]","(32,34)[0]","(32,30)[0]","(30,32)[0]","(33,33)[1]","(33,33)[2]","(33,31)[1]","(31,33)[1]","(33,31)[2]","(31,33)[2]","(31,31)[1]","(31,31)[2]","(34,33)[0]","(33,34)[0]","(34,31)[0]","(31,34)[0]","(33,30)[0]","(30,33)[0]","(32,32)[3]","(31,30)[0]","(30,31)[0]","(32,32)[4]","(32,32)[5]","(32,32)[6]","(32,32)[7]","(33,32)[3]","(32,33)[3]","(33,32)[4]","(32,33)[4]","(33,32)[5]","(32,33)[5]","(32,31)[3]","(31,32)[3]","(33,32)[6]","(32,33)[6]","(32,31)[4]","(31,32)[4]","(32,31)[5]","(31,32)[5]","(32,31)[6]","(31,32)[6]"
-0.004,0.188804325,0.089181712,0.089102426,0.085059396,0.085006261,0.041917557,0.039942656,0.039881621,0.038080573,0.025161521,0.025142912,0.011730862,0.011725885,0.011157196,0.011144402,0.010509154,0.010501129,0.009901824,0.009892678,0.00797958,0.007966642,0.007179068,0.007167293,0.00488667,0.004869042,0.004640017,0.004633516,0.004596452,0.004588214,0.00437811,0.004358989,0.003692306,0.003689807,0.003514386,0.003506157,0.0033183,0.00330979,0.003223891,0.003158707,0.003155452,0.002767702,0.002711949,0.002693919,0.0026676,0.001327091,0.001326709,0.001296665,0.0012949,0.001252426,0.001251321,0.001248952,0.001247124,0.001233415,0.001232319,0.001217698,0.001217129,0.001185596,0.001184632,0.001169672,0.001168752
-0.005,0.188807382,0.089198884,0.089102454,0.085062921,0.084982828,0.041936861,0.039942543,0.039859919,0.038084493,0.025159834,0.025140146,0.011734215,0.011724389,0.011156012,0.011142571,0.010514099,0.010499775,0.009898743,0.00989336,0.007984609,0.007965659,0.007177716,0.007165706,0.00488862,0.004871301,0.004641161,0.004630636,0.004595021,0.004587595,0.004377336,0.004358868,0.003696682,0.003691972,0.003515023,0.003503028,0.00331726,0.003307281,0.003223597,0.003159294,0.003157158,0.002767821,0.002712014,0.002694039,0.002667691,0.001327779,0.001326166,0.001296996,0.001295021,0.001252286,0.001251496,0.001247906,0.001247082,0.001233479,0.001232721,0.001217518,0.001216778,0.001185757,0.001184266,0.001170107,0.001168069
-0.006,0.188804316,0.089189566,0.089118083,0.085060714,0.084981278,0.041943463,0.039935513,0.039864193,0.038083796,0.025160678,0.025142008,0.011735999,0.01172449,0.01115373,0.011144867,0.010514103,0.010498364,0.009896924,0.009893625,0.007983489,0.007967285,0.007176255,0.007165883,0.004889157,0.004871365,0.004641,0.004630055,0.004593702,0.004588607,0.004377383,0.00435832,0.003697201,0.003693078,0.003514103,0.003503113,0.003315425,0.003307849,0.003223888,0.003158625,0.00315697,0.002767691,0.002712018,0.002693779,0.002667458,0.001328049,0.001325779,0.001296361,0.001295247,0.001252068,0.001252023,0.001247544,0.001247765,0.001233446,0.001232872,0.001217755,0.001216669,0.001185946,0.001184094,0.001169584,0.001168199
-0.007,0.188804015,0.089218937,0.089122379,0.0850567,0.084958836,0.041963458,0.039939903,0.039847989,0.038075754,0.025163739,0.025142927,0.01173975,0.011725548,0.011153787,0.011141156,0.01051877,0.010499158,0.009894521,0.00988735,0.007989455,0.007967316,0.007174632,0.007160141,0.004892497,0.004874346,0.004642273,0.004628698,0.004593145,0.00458501,0.004373947,0.004356092,0.003701027,0.003694364,0.003515565,0.003501445,0.003314807,0.003304409,0.003223909,0.003157631,0.003154757,0.002768136,0.00271205,0.002693736,0.002666939,0.001329297,0.001326255,0.001297184,0.001295076,0.00125242,0.001252325,0.001246094,0.001245313,0.001233609,0.001232631,0.001217682,0.001216294,0.00118596,0.001183795,0.001169334,0.001167509
-0.011,0.188812402,0.089162368,0.089138949,0.085010941,0.085037814,0.041976001,0.039860157,0.039862026,0.038121591,0.025170462,0.025136654,0.011727731,0.011732314,0.011151735,0.011149246,0.01050473,0.010508536,0.009899363,0.009892128,0.007973614,0.007973964,0.007170399,0.007170811,0.004891064,0.004874938,0.004631442,0.004634678,0.004589855,0.004585403,0.004380252,0.00436202,0.003699214,0.003700042,0.003501716,0.003503228,0.003306262,0.003305676,0.003224039,0.003163818,0.003162465,0.00276818,0.002711593,0.002693895,0.002667366,0.001326402,0.001328006,0.001296205,0.001295669,0.001252109,0.001251359,0.001249127,0.001246333,0.001233288,0.001232826,0.001216838,0.001217724,0.00118495,0.001185734,0.001168257,0.001169124
-0.021,0.188830424,0.089242353,0.089114434,0.085031394,0.084970355,0.04207919,0.039827374,0.039736302,0.038165748,0.02518184,0.025122885,0.011735493,0.011728434,0.011152679,0.011134112,0.01051746,0.010502963,0.009899931,0.00988727,0.007989665,0.007966867,0.007171418,0.007158085,0.004902045,0.004886233,0.004631665,0.004622423,0.004588789,0.00457586,0.004382325,0.004367226,0.003720173,0.003714349,0.003497005,0.003484121,0.003299084,0.003286835,0.003222324,0.003172274,0.003168287,0.002769425,0.002711971,0.002692337,0.002667252,0.001328275,0.001328213,0.001297992,0.001294626,0.001252935,0.001251497,0.001249837,0.001246136,0.001234889,0.00123338,0.001216863,0.001216743,0.00118559,0.001184245,0.001168129,0.001166987
-0.023,0.188818675,0.089251821,0.089166182,0.085027432,0.084926809,0.042120984,0.039815471,0.039730894,0.038155903,0.025184355,0.025133721,0.011745038,0.011732019,0.011147533,0.01113619,0.010519256,0.010501979,0.0098875,0.009882194,0.007991411,0.007971677,0.007165865,0.007151619,0.004904978,0.004890132,0.0046323,0.004619754,0.00458188,0.004575535,0.00437671,0.004363846,0.003724655,0.003718971,0.003495879,0.003483388,0.003294515,0.003284764,0.003223414,0.003169469,0.003166871,0.002768668,0.002711306,0.002692064,0.00266589,0.001330608,0.00132786,0.001297784,0.00129607,0.001252582,0.001252164,0.001245806,0.001247242,0.001234625,0.001233712,0.001217277,0.001215651,0.001185483,0.001183533,0.001167512,0.001165784
-0.026,0.188815918,0.089246503,0.089169633,0.085004485,0.084948993,0.042141566,0.039782959,0.039725933,0.03817554,0.025185753,0.02512534,0.01173991,0.011734365,0.011146069,0.01113561,0.010516003,0.010506618,0.009889202,0.009880712,0.00799002,0.007975596,0.007165523,0.00715454,0.00490667,0.004892039,0.004627959,0.004621055,0.004580956,0.004573158,0.004377677,0.004365325,0.003727714,0.003723902,0.00349113,0.003483274,0.00329116,0.003283761,0.003222593,0.003173074,0.003170425,0.002768399,0.002711784,0.0026924,0.00266594,0.001329443,0.00132857,0.001297913,0.001296076,0.001252537,0.001251741,0.001246188,0.001244941,0.001234866,0.001233979,0.001216913,0.001216145,0.001185073,0.001184072,0.001167112,0.001166274
-0.032,0.188825833,0.089236168,0.089157789,0.085010961,0.084968247,0.042175572,0.039737251,0.039687356,0.038223589,0.025195139,0.025121971,0.011738717,0.011735513,0.011147312,0.011137889,0.010513346,0.010505495,0.009889797,0.009882026,0.007986528,0.007972983,0.007164083,0.007155917,0.004908433,0.004894749,0.004624245,0.004618082,0.004576477,0.004569372,0.004381658,0.004370505,0.003732648,0.003729831,0.003483249,0.003476139,0.003283821,0.003277598,0.003223045,0.003178885,0.003176966,0.002768358,0.002711831,0.002691341,0.00266602,0.001329423,0.001328941,0.001297682,0.001295959,0.001252406,0.001251357,0.001246585,0.001246275,0.001234639,0.001234118,0.001216577,0.00121632,0.001185247,0.00118441,0.001166882,0.00116589
-0.043,0.188829022,0.089250023,0.089170467,0.085021106,0.08493121,0.042266878,0.039673716,0.03959714,0.038287061,0.025205323,0.025108656,0.011744941,0.011732074,0.01114567,0.011135337,0.010518755,0.010504898,0.009886479,0.009881073,0.007990977,0.007974194,0.007163871,0.007150485,0.004916206,0.004903752,0.004620508,0.004610236,0.004569277,0.004563019,0.004385069,0.004375299,0.003748045,0.003743347,0.003473802,0.00346303,0.0032728,0.003263963,0.003222945,0.003190248,0.003186935,0.002768563,0.002712174,0.002691101,0.002665689,0.001330759,0.00132839,0.001297863,0.001296734,0.001251945,0.001251451,0.001245648,0.00124594,0.001235238,0.00123447,0.001216897,0.001215643,0.001185863,0.001184299,0.001166384,0.001164889
