parameter,(128)[0],(129)[0],(127)[0],(130)[0],(126)[0],(127)[1],(129)[1],(128)[1],(128)[2],(126)[1],(130)[1],(127)[2],(129)[2],(128)[3],(131)[0],(125)[0],(128)[4],(130)[2],(126)[2],(127)[3],(129)[3],(127)[4],(129)[4],(126)[3],(130)[3],(128)[5],(128)[6],(127)[5],(129)[5],(125)[1],(131)[1],(128)[7],(128)[8],(126)[4],(130)[4],(127)[6],(129)[6],(127)[7],(129)[7],(126)[5],(130)[5],(129)[8],(127)[8],(128)[9],(131)[2],(125)[2],(128)[10],(125)[3],(131)[3],(129)[9],(127)[9],(124)[0],(132)[0],(128)[11],(128)[12],(126)[6],(130)[6],(129)[10],(127)[10],(127)[11],(129)[11],(130)[7],(126)[7],(127)[12]
4.99,0.797068939812124,0.098918349436901,0.098918349433857,0.001188532811262,0.001188532811255,0.001129427618453,0.001129427618374,0.000327631384667,5.79681687287479E-05,1.73160347634785E-05,1.73160347422037E-05,1.45671266739905E-05,1.45671264602845E-05,3.16361980803273E-06,1.57295052863289E-06,1.57295052425101E-06,8.66136181566182E-07,2.66461488208691E-07,2.66461482873575E-07,2.35021472640168E-07,2.3502144242814E-07,1.74719570359375E-07,1.74719521350686E-07,1.51920917050088E-07,1.51920912507415E-07,5.49418362074172E-08,3.13958738851925E-08,2.8995015139756E-08,2.89950144930463E-08,2.34941120081135E-08,2.34941116773422E-08,1.32902306797674E-08,8.22930200761268E-09,3.87927368780909E-09,3.87927166438091E-09,3.50653340949892E-09,3.50653148477974E-09,2.11880155975864E-09,2.11879971466233E-09,1.78728425554678E-09,1.787280076919E-09,1.37113365606571E-09,1.37113223719079E-09,7.11486519369123E-10,3.6395145050439E-10,3.6395111820022E-10,3.41509465753167E-10,3.3880862162711E-10,3.38808393080927E-10,2.99245189061343E-10,2.99245021494293E-10,2.28901821192968E-10,2.2890178894484E-10,2.20758799834348E-10,1.22280086293951E-10,5.39047747864633E-11,5.39046652477278E-11,5.25716812864347E-11,5.25713569251392E-11,4.48924933529728E-11,4.48916953912084E-11,3.19671312136357E-11,3.19653406596093E-11,2.76417817101732E-11
4.98,0.796032020810098,0.099393658591294,0.09939365859056,0.001208514097472,0.001208514097381,0.001147272685986,0.001147272686129,0.000334952507601,5.92502501745064E-05,1.7780604621043E-05,1.77806046586232E-05,1.49633563445501E-05,1.49633562943088E-05,3.27269403215256E-06,1.62763590253583E-06,1.6276358884008E-06,8.9480187369244E-07,2.76471165913535E-07,2.76471126299639E-07,2.44160143096839E-07,2.44160139308507E-07,1.81768099900944E-07,1.81768101731525E-07,1.58103470133221E-07,1.58103483539263E-07,5.73975669842529E-08,3.28444334034674E-08,3.03808722666924E-08,3.03808761043657E-08,2.45625437836672E-08,2.45625516771318E-08,1.38728733709678E-08,8.60327271978615E-09,4.07058908462114E-09,4.07060801060482E-09,3.67983710574917E-09,3.67984385223997E-09,2.22948443038603E-09,2.229492539889E-09,1.88196545925486E-09,1.88197404490274E-09,1.44072884416287E-09,1.44072656667173E-09,7.51250713695768E-10,3.84386812194101E-10,3.84383283333902E-10,3.61304183039298E-10,3.57627095621914E-10,3.57632249565242E-10,3.17201532407434E-10,3.17199644148649E-10,2.42521742216535E-10,2.42521845079617E-10,2.32567061242513E-10,1.29134298076519E-10,5.7201740708572E-11,5.72076658776697E-11,5.56835941453832E-11,5.56819249741346E-11,4.76411313134839E-11,4.76404095327476E-11,3.40066264328133E-11,3.40037769407243E-11,2.93974025293293E-11
4.97,0.794986420697384,0.099872416726735,0.099872416724922,0.001228900583272,0.001228900583156,0.001165460328245,0.0011654603283,0.00034246217168,6.05656074683749E-05,1.82594435713601E-05,1.82594435950721E-05,1.53718139185957E-05,1.53718137902273E-05,3.38593528954741E-06,1.68442531030287E-06,1.68442530122062E-06,9.24528889160286E-07,2.86894987236745E-07,2.86894996721773E-07,2.53694406154718E-07,2.53694379440462E-07,1.89125552345368E-07,1.89125517747635E-07,1.64559837655421E-07,1.6455984245955E-07,5.99723618852577E-08,3.43655330875614E-08,3.18378724335042E-08,3.18378743104393E-08,2.56837416630922E-08,2.56837432021337E-08,1.4483398402276E-08,8.99572135804214E-09,4.27208949045579E-09,4.27208512393155E-09,3.86242362015954E-09,3.86242297868751E-09,2.34636570086991E-09,2.34636535621852E-09,1.98204498665099E-09,1.98204053795822E-09,1.51413378206677E-09,1.51413169352133E-09,7.93397421787144E-10,4.06050839716567E-10,4.06051101698127E-10,3.82313929300852E-10,3.77576955987685E-10,3.77577243198536E-10,3.36304217226178E-10,3.36304061696191E-10,2.57004423586103E-10,2.57004421094508E-10,2.45053260377615E-10,1.36401186496953E-10,6.07213888364286E-11,6.07217814502795E-11,5.89891220617009E-11,5.8987719849601E-11,5.0569324126954E-11,5.05679494876512E-11,3.6182364853943E-11,3.61819701838633E-11,3.12663383519006E-11
4.96,0.793932033197523,0.100354655010307,0.10035465500882,0.001249701961616,0.001249701961551,0.001183998362287,0.001183998362441,0.00035016589545,6.19152393465731E-05,1.87530476399118E-05,1.87530476320213E-05,1.57929234270905E-05,1.57929232871615E-05,3.50351880377562E-06,1.74340786408155E-06,1.74340784893603E-06,9.55360912494984E-07,2.97751769112523E-07,2.97751778782992E-07,2.63643195193463E-07,2.63643167214864E-07,1.9680650103121E-07,1.9680646632101E-07,1.71303140756146E-07,1.71303148053496E-07,6.26724610853267E-08,3.59631319337598E-08,3.33699187966691E-08,3.33699216804438E-08,2.68605006692972E-08,2.68605037105505E-08,1.5123268408365E-08,9.40763750336716E-09,4.48429174015856E-09,4.48428982030162E-09,4.05483102215083E-09,4.05483117457759E-09,2.46981454342531E-09,2.4698141771924E-09,2.08780769553348E-09,2.08780481636193E-09,1.59157529977292E-09,1.59157277333062E-09,8.38081815449536E-10,4.29023619184822E-10,4.29023548099845E-10,4.04627699670208E-10,3.98713082519564E-10,3.98713503017444E-10,3.566315916606E-10,3.56631364074794E-10,2.72407529941503E-10,2.72407518418116E-10,2.58264880042828E-10,1.44108545218468E-10,6.44611154514722E-11,6.44624463793264E-11,6.25084998624292E-11,6.25071672483404E-11,5.36898787309553E-11,5.36889228838457E-11,3.85083738794109E-11,3.85093829087711E-11,3.32614152703159E-11
4.95,0.792868750236555,0.100840404875441,0.100840404873719,0.001270928194176,0.001270928194033,0.001202894814354,0.001202894814216,0.000358069378674,6.33001788385047E-05,1.92619325545592E-05,1.92619325585731E-05,1.62271260390912E-05,1.62271258113489E-05,3.62562764451559E-06,1.80467677586631E-06,1.80467677022263E-06,9.87343599497314E-07,3.09061373216452E-07,3.09061388158646E-07,2.7402654518513E-07,2.74026508975756E-07,2.04826485402953E-07,2.04826431416129E-07,1.78347241473566E-07,1.78347249937773E-07,6.55044649203852E-08,3.76413706820998E-08,3.49811589643412E-08,3.49811608759337E-08,2.8095817396774E-08,2.80958191774503E-08,1.57940263486978E-08,9.84006849073279E-09,4.70790999717519E-09,4.70790555671277E-09,4.25766512147065E-09,4.25765935451086E-09,2.60026728139347E-09,2.60026442972123E-09,2.19965189719995E-09,2.19964972140558E-09,1.67329027181072E-09,1.67328796667965E-09,8.85474835569475E-10,4.53395493117166E-10,4.53395708387886E-10,4.28331162360766E-10,4.21124102364766E-10,4.21124599868656E-10,3.78272893664143E-10,3.78272772464318E-10,2.88793356001911E-10,2.8879335123649E-10,2.72251196848373E-10,1.52287097782607E-10,6.84646394615825E-11,6.84660352384669E-11,6.62645376893027E-11,6.62638913723509E-11,5.70156342583877E-11,5.70137701191755E-11,4.0994264925439E-11,4.09952576184638E-11,3.53967683715933E-11
4.94,0.791796461927286,0.101329698006817,0.101329698008003,0.001292589519696,0.001292589519788,0.00122215792463,0.00122215792394,0.000366178509618,6.47214944544432E-05,1.97866338626002E-05,1.97866338243781E-05,1.66748791447097E-05,1.66748787819579E-05,3.75245355160906E-06,1.86832964159824E-06,1.86832963247437E-06,1.02052470567649E-06,3.20844354622985E-07,3.20844376931713E-07,2.84865409128685E-07,2.8486537765714E-07,2.1320152024706E-07,2.13201468270517E-07,1.85706672464435E-07,1.85706681698393E-07,6.84753250635978E-08,3.94046666618793E-08,3.66759674890581E-08,3.66759710653927E-08,2.93928270919803E-08,2.93928296801409E-08,1.6497313075683E-08,1.0294119542898E-08,4.94348797372237E-09,4.94348538578009E-09,4.47149591047186E-09,4.47149953907707E-09,2.73811340087349E-09,2.73811666061033E-09,2.31789223315703E-09,2.3178922613713E-09,1.75953497167528E-09,1.7595327051513E-09,9.35743975684645E-10,4.79248750723818E-10,4.79248736794266E-10,4.53516469873851E-10,4.44884307725533E-10,4.44885075930469E-10,4.01310040212652E-10,4.01309727015246E-10,3.06228583706284E-10,3.06228590845711E-10,2.87080354610539E-10,1.60965959259033E-10,7.27189922294754E-11,7.27210177005381E-11,7.02714244847542E-11,7.02690343617265E-11,6.05612459805011E-11,6.05612456805648E-11,4.36495157188014E-11,4.36492456073563E-11,3.76841648544618E-11
4.93,0.790715056498607,0.101822566356349,0.101822566357137,0.001314696463476,0.001314696463485,0.00124179615512,0.001241796154547,0.000374499371387,6.61802916758197E-05,2.03277083780327E-05,2.03277083970481E-05,1.71366584769622E-05,1.71366581795771E-05,3.88419695660553E-06,1.93446857635581E-06,1.93446856689151E-06,1.05495411639783E-06,3.33122563477373E-07,3.33122559690516E-07,2.96181948375243E-07,2.96181932509154E-07,2.21948661927604E-07,2.21948632171856E-07,1.93396761861628E-07,1.9339678003119E-07,7.15924079425205E-08,4.12576784516494E-08,3.84589919465488E-08,3.84589968868506E-08,3.07548684455691E-08,3.07548730804611E-08,1.72348047970933E-08,1.07709621911194E-08,5.1917730193351E-09,5.19177968294164E-09,4.69699237177493E-09,4.69700465401846E-09,2.88382550594739E-09,2.88383829870404E-09,2.4429499324123E-09,2.44295845999043E-09,1.8505796367281E-09,1.85057762515114E-09,9.89089245013643E-10,5.06684123713888E-10,5.06683438669892E-10,4.80286161829095E-10,4.70084935040747E-10,4.7008659645743E-10,4.25844915557928E-10,4.25840833571403E-10,3.24784553089879E-10,3.24784570088874E-10,3.02768955074236E-10,1.70179513515547E-10,7.72574963073704E-11,7.72618648878876E-11,7.45480784783306E-11,7.45424091115566E-11,6.43422642834571E-11,6.43425392986327E-11,4.64864435984041E-11,4.6486195333757E-11,4.01351217431653E-11
4.92,0.78962442028873,0.102319042117921,0.102319042119712,0.001337259845394,0.00133725984553,0.001261818196134,0.001261818194976,0.000383038249284,6.76777143507593E-05,2.08857349406054E-05,2.08857348821575E-05,1.76129584320816E-05,1.76129578304392E-05,4.02106767298489E-06,2.00320051708469E-06,2.00320051215346E-06,1.09068404139509E-06,3.4591880931919E-07,3.45918855178387E-07,3.07999472882251E-07,3.07999425059614E-07,2.31085744390738E-07,2.31085647473133E-07,2.01433650136164E-07,2.01433657319909E-07,7.4863482858022E-08,4.32053234943108E-08,4.03351519367248E-08,4.03351547273681E-08,3.21854746829656E-08,3.21854764576776E-08,1.80083102247403E-08,1.12718328330577E-08,5.45351203028089E-09,5.45349757106991E-09,4.93480861801953E-09,4.93480832924809E-09,3.03783335104252E-09,3.03783162284772E-09,2.57526478339498E-09,2.57526412340856E-09,1.94670648807509E-09,1.94670487592967E-09,1.04568669560658E-09,5.35805289370242E-10,5.35806954150583E-10,5.08742347952664E-10,4.96821994951542E-10,4.96822377977331E-10,4.51978788540707E-10,4.51978723346164E-10,3.44538093296686E-10,3.44537956974112E-10,3.19383317225952E-10,1.79957548258467E-10,8.20957711746819E-11,8.20958951491544E-11,7.90883343448451E-11,7.90863441386139E-11,6.83752746633074E-11,6.83753169706347E-11,4.95195238940615E-11,4.95197663357882E-11,4.27411818942695E-11
4.91,0.788524437671101,0.10281915774695,0.102819157746548,0.001360290790685,0.001360290790666,0.001282232972466,0.001282232972116,0.000391801638527,6.92149462476608E-05,2.14613150790978E-05,2.14613150738458E-05,1.81042923986837E-05,1.8104292070391E-05,4.16328532607858E-06,2.07463743551892E-06,2.07463742498071E-06,1.12776914751462E-06,3.59257148231678E-07,3.59257165981007E-07,3.20342536334969E-07,3.20342513461558E-07,2.40631508676199E-07,2.40631470295452E-07,2.09834276738364E-07,2.09834283388932E-07,7.82967793904393E-08,4.52528312945669E-08,4.23096494966461E-08,4.23096509162018E-08,3.36883699647903E-08,3.36883751509903E-08,1.88197506488009E-08,1.17980463073065E-08,5.72945451998763E-09,5.72945132533825E-09,5.18567213126402E-09,5.1856830938868E-09,3.20064938084585E-09,3.20066134849981E-09,2.7152479702754E-09,2.71524905907416E-09,2.04822503545566E-09,2.0482224953047E-09,1.10576098196963E-09,5.66727033911183E-10,5.6672744362963E-10,5.38991573545067E-10,5.25192778488932E-10,5.25194329121718E-10,4.79818825125386E-10,4.79818079423633E-10,3.65571378726003E-10,3.65571450697029E-10,3.36976142342314E-10,1.90341366269261E-10,8.72515627683691E-11,8.72547335750214E-11,8.39288205293147E-11,8.39233865151232E-11,7.26779132286132E-11,7.2678132023562E-11,5.27641455587752E-11,5.27637147567212E-11,4.55208476015346E-11
4.9,0.787414991028484,0.103322945941602,0.103322945941246,0.001383800738384,0.001383800738342,0.001303049653036,0.001303049652603,0.000400796251712,7.07932125251798E-05,2.20550745562547E-05,2.20550745470397E-05,1.8611194824667E-05,1.86111944468839E-05,4.31107985713665E-06,2.14889658058237E-06,2.14889656978556E-06,1.1662665948043E-06,3.73162791094629E-07,3.73162807888331E-07,3.33237113519761E-07,3.33237087922749E-07,2.50605878904317E-07,2.50605833148897E-07,2.18616541104678E-07,2.18616548207109E-07,8.19010006202296E-08,4.7405765581822E-08,4.43880138848315E-08,4.4388014972298E-08,3.52675123392861E-08,3.52675184043751E-08,1.96711680653799E-08,1.23509933325744E-08,6.02049363355473E-09,6.02048850317793E-09,5.45040971711792E-09,5.45042079989422E-09,3.37287919396248E-09,3.37289150498572E-09,2.86341933349576E-09,2.86342074312688E-09,2.15546035215729E-09,2.15545753270016E-09,1.16954798999099E-09,5.99563455952294E-10,5.99564056980794E-10,5.71166387057177E-10,5.55306598590497E-10,5.55308366890692E-10,5.09490080850822E-10,5.09489417416381E-10,3.87971947363044E-10,3.87972029457909E-10,3.55623365162179E-10,2.01373176954998E-10,9.27736960137452E-11,9.27767044356759E-11,8.91017897297557E-11,8.9096195286197E-11,7.72702989462208E-11,7.72705430594693E-11,5.62351746183953E-11,5.62348516553113E-11,4.85067508621428E-11
